YEAR,PERSONEL_COMMERCIAL,KARA_LISTE_KONTROL,KULLANIM_SEKLI,MARKA,TIP_GRUP,EGM_KULLANIM_SEKLI,MOTOR_GUCU,SILINDIR_HACMI,PLAKA_IL_KODU,ARAC_BEDELI,HASARSIZLIK_INDIRIMI,MEDENI_DURUM,ONCEKI_ŞIRKET,ARAC_YASI,ONCEKI_KASKO_POLICESI_VAR_MI,UYGULANAN_BASAMAK_KODU,ONCEKI_POLICE_BASAMAK_KODU,ONCEKI_POLICE_BASLANGIC_TARIHI,ONCEKI_POLICE_BITIS_TARIHI,PAKET_TIPI,EGM_CINSI,EGM_CINSI,ORJINAL_OLMAYAN_PARCA_VARMI,IKAMET_IL_KODU,ALT_KULLANIM_SEKLI,TCK_PLAKA_SORGU,CLAIM_EXPERIENCE,PERT_SORGU,ARAC_TARIFE_GRUP_KODU,IHALE_FILO_KODU,ARAC_ALT_CINS,ARAC_UST_CINS_ID,SEGMENT,AGIRLIK,ARAC_TIPI,YAKIT_TIPI,LPG_VAR_MI,MESLEK,HASAR_VAR_MI
2019,O,1,1,M4GH54J5GH,CV4B56CV,4R561446512,101,0,34,49615,1,B,47,8,E,0,0,5/16/2018 0:00,5/16/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,0,,1,9999999,NFD4HFDHDFHFD,4,B,1050,10,O,H,5,0
2019,O,1,1,M4GH54J5GH,J1GH5MJGH,4R561446512,90,1364,34,99069,0,E,,3,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,X,,1,9999999,144RH5ER64HRE+,4,C,1270,10,D,H,,0
2019,O,1,1,#N/A,4H8RT4HRT,4R561446512,120,1598,34,55850,2,E,25,8,E,0,1,5/14/2018 0:00,5/14/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,C,1485,10,D,H,3,1
2019,O,1,1,45YH4ER5H4R5,B4DGF5GHD,4R561446512,90,1248,34,65193,1,E,104,7,E,0,0,5/21/2018 0:00,5/21/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,C,1230,10,D,H,5,0
2019,O,1,1,DF5H45DF4H5DF,KJH4,4R561446512,90,1461,35,105159,1,E,11,2,E,0,0,12/20/2017 0:00,12/20/2018 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,35,100,0,0,,1,9999999,DF4H,4,G,1245,40,D,H,41,0
2019,O,1,1,M4GH54J5GH,J1GH5MJGH,4R561446512,99,1329,16,60382,1,E,9,6,E,0,0,5/16/2018 0:00,5/16/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,16,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1225,10,O,H,18,0
2019,O,1,1,SD56G4SD5G4,Q4RE8QW,4R561446512,65,1461,34,35726,3,E,42,8,E,0,2,5/18/2018 0:00,5/18/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,B,980,10,D,H,3,0
2019,O,1,1,SD45GV4XC5V,4ESW85G,#N/A,97,1399,6,43361,4,E,57,10,E,0,3,5/16/2018 0:00,5/16/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,#N/A,,C,1133,10,L,E,3,0
2019,O,1,1,DF5H45DF4H5DF,D4B48CV,4R561446512,110,1461,52,68388,1,E,9,8,E,0,0,5/2/2018 0:00,5/2/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,0,,1,9999999,144RH5ER64HRE+,4,E,1425,10,D,H,16,0
2019,O,1,1,URT45HRT4H5D,48UYT8UTY,4R561446512,90,1461,34,75162,0,C,,4,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,K,,1,9999999,5H4DF56H4DF,4,H,1349,40,D,H,4,0
2019,O,1,1,45YH4ER5H4R5,B4DGF5GHD,4R561446512,87,1248,34,65897,1,B,108,7,E,0,0,5/18/2018 0:00,5/18/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,C,1373,10,,H,4,1
